  Year          Age             Female            Male           Total
  1955           0             0.022386        0.029098        0.025833
  1955           1             0.001422        0.001619        0.001523
  1955           2             0.000868        0.000955        0.000913
  1955           3             0.000582        0.000775        0.000681
  1955           4             0.000500        0.000614        0.000559
  1955           5             0.000417        0.000582        0.000502
  1955           6             0.000321        0.000510        0.000418
  1955           7             0.000304        0.000494        0.000402
  1955           8             0.000290        0.000430        0.000362
  1955           9             0.000235        0.000411        0.000326
  1955          10             0.000240        0.000367        0.000306
  1955          11             0.000277        0.000361        0.000321
  1955          12             0.000272        0.000378        0.000327
  1955          13             0.000288        0.000400        0.000346
  1955          14             0.000221        0.000422        0.000325
  1955          15             0.000272        0.000520        0.000400
  1955          16             0.000391        0.000788        0.000595
  1955          17             0.000433        0.001029        0.000738
  1955          18             0.000421        0.001204        0.000821
  1955          19             0.000381        0.001200        0.000799
  1955          20             0.000415        0.001137        0.000783
  1955          21             0.000403        0.000998        0.000707
  1955          22             0.000457        0.001013        0.000741
  1955          23             0.000407        0.000923        0.000669
  1955          24             0.000412        0.000866        0.000643
  1955          25             0.000367        0.000842        0.000607
  1955          26             0.000413        0.000881        0.000649
  1955          27             0.000412        0.000828        0.000622
  1955          28             0.000443        0.000899        0.000673
  1955          29             0.000455        0.000823        0.000641
  1955          30             0.000531        0.000881        0.000708
  1955          31             0.000513        0.000931        0.000723
  1955          32             0.000580        0.001008        0.000795
  1955          33             0.000570        0.001142        0.000857
  1955          34             0.000644        0.001058        0.000851
  1955          35             0.000704        0.001201        0.000953
  1955          36             0.000731        0.001291        0.001011
  1955          37             0.000827        0.001330        0.001078
  1955          38             0.000818        0.001437        0.001126
  1955          39             0.000993        0.001620        0.001305
  1955          40             0.001079        0.001804        0.001439
  1955          41             0.001136        0.001843        0.001488
  1955          42             0.001253        0.001988        0.001619
  1955          43             0.001431        0.002192        0.001809
  1955          44             0.001529        0.002253        0.001888
  1955          45             0.001587        0.002441        0.002011
  1955          46             0.001876        0.002813        0.002340
  1955          47             0.002038        0.003132        0.002580
  1955          48             0.002143        0.003293        0.002713
  1955          49             0.002258        0.003468        0.002857
  1955          50             0.002585        0.003796        0.003185
  1955          51             0.002614        0.004118        0.003359
  1955          52             0.002731        0.004269        0.003494
  1955          53             0.003042        0.004629        0.003829
  1955          54             0.003406        0.004815        0.004104
  1955          55             0.003412        0.005355        0.004374
  1955          56             0.003719        0.005643        0.004671
  1955          57             0.003992        0.005985        0.004977
  1955          58             0.004269        0.006614        0.005426
  1955          59             0.004673        0.007082        0.005860
  1955          60             0.005234        0.008012        0.006601
  1955          61                    .               .               .
  1955          62                    .               .               .
  1955          63                    .               .               .
  1955          64                    .               .               .
  1955          65                    .               .               .
  1955          66                    .               .               .
  1955          67                    .               .               .
  1955          68                    .               .               .
  1955          69                    .               .               .
  1955          70                    .               .               .
  1955          71                    .               .               .
  1955          72                    .               .               .
  1955          73                    .               .               .
  1955          74                    .               .               .
  1955          75                    .               .               .
  1955          76                    .               .               .
  1955          77                    .               .               .
  1955          78                    .               .               .
  1955          79                    .               .               .
  1955          80                    .               .               .
  1955          81                    .               .               .
  1955          82                    .               .               .
  1955          83                    .               .               .
  1955          84                    .               .               .
  1955          85                    .               .               .
  1955          86                    .               .               .
  1955          87                    .               .               .
  1955          88                    .               .               .
  1955          89                    .               .               .
  1955          90                    .               .               .
  1955          91                    .               .               .
  1955          92                    .               .               .
  1955          93                    .               .               .
  1955          94                    .               .               .
  1955          95                    .               .               .
  1955          96                    .               .               .
  1955          97                    .               .               .
  1955          98                    .               .               .
  1955          99                    .               .               .
  1955         100                    .               .               .
  1955         101                    .               .               .
  1955         102                    .               .               .
  1955         103                    .               .               .
  1955         104                    .               .               .
  1955         105                    .               .               .
  1955         106                    .               .               .
  1955         107                    .               .               .
  1955         108                    .               .               .
  1955         109                    .               .               .
  1955         110+                   .               .               .
