United Kingdom, Exposure to risk (period 1x1), 	Last modified: 28 May 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1955           0            375807.92       396216.35       772024.27
  1955           1            378154.59       397589.41       775744.00
  1955           2            376139.43       394848.05       770987.48
  1955           3            370914.04       389089.26       760003.29
  1955           4            376645.64       395628.94       772274.58
  1955           5            388269.72       407887.26       796156.98
  1955           6            407926.88       428390.77       836317.65
  1955           7            432968.15       453680.97       886649.12
  1955           8            470120.21       491854.30       961974.51
  1955           9            396836.26       415357.32       812193.59
  1955          10            380379.20       397584.50       777963.71
  1955          11            374489.77       389914.13       764403.91
  1955          12            365738.63       378041.25       743779.88
  1955          13            338773.95       347332.01       686105.96
  1955          14            318095.58       324357.35       642452.93
  1955          15            328169.96       332863.93       661033.88
  1955          16            334734.21       337950.72       672684.93
  1955          17            336586.74       340433.89       677020.63
  1955          18            329334.06       329558.66       658892.71
  1955          19            324218.06       321883.34       646101.40
  1955          20            319791.97       320895.19       640687.16
  1955          21            316917.08       318225.27       635142.35
  1955          22            321109.59       315429.89       636539.48
  1955          23            331191.96       314069.58       645261.54
  1955          24            340338.90       321541.23       661880.13
  1955          25            343162.11       331172.12       674334.23
  1955          26            342294.97       333635.87       675930.85
  1955          27            343261.53       336997.62       680259.15
  1955          28            349005.06       344606.04       693611.10
  1955          29            357095.94       353798.80       710894.74
  1955          30            362260.35       358716.56       720976.91
  1955          31            368106.02       362709.26       730815.28
  1955          32            378491.15       371324.34       749815.48
  1955          33            397614.35       389597.50       787211.85
  1955          34            416921.30       407898.27       824819.57
  1955          35            399902.86       390025.37       789928.23
  1955          36            342107.19       330854.06       672961.25
  1955          37            308535.88       296053.75       604589.63
  1955          38            326209.57       313240.42       639449.99
  1955          39            354472.95       340412.51       694885.46
  1955          40            377971.04       361851.27       739822.31
  1955          41            389120.92       371902.21       761023.13
  1955          42            387754.97       371392.56       759147.52
  1955          43            385926.25       371726.07       757652.32
  1955          44            386045.63       372943.26       758988.90
  1955          45            384204.82       371302.50       755507.32
  1955          46            385668.92       371927.77       757596.69
  1955          47            383935.80       368837.73       752773.53
